Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C15, C16, C2, C5, C7, C9",0603,10,1UF,
"C14, C20, C23, C4",0603,4,10uF,
"C17, C19, C6",0603,3,4.7uf,
C18,0603,1,104,
C21,0603,1,22nF,
C22,0603,1,47uF,
C3,0603,1,C_Small,
"D1, D2, D4",D_SOD-123,3,MBR0530,
D3,D_SOD-323,1,1N5819WS,
"D5, D6",0805,2,LED,
J3,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,Conn_01x24,
J4,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
L1,L_Changjiang_FNR4020S,1,10uH,
Q1,SOT-23,1,BSS138LT1G,
"Q2, Q3, Q32",SOT-23,3,SS8050,
Q31,SOT-23,1,SI2301CDS-T1-E3,
R1,0603,1,1k,
"R10, R35",0603,2,NC,
"R11, R12, R15",0603,3,0r,
"R13, R14, R19, R3, R4, R5, R6, R8, R9",0603,9,10K,
"R16, R17",0603,2,5.1K,
R2,0603,1,2.2k,
"R33, R34",0603,2,100K,
R7,0603,1,0.47R,
SW2,SW_DIP_SPSTx02_Slide_Copal_CHS-02B_W7.62mm_P1.27mm,1,SW_Push_Dual_x2,
"SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U2,WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CH343P,
U3,SOT-23-5,1,RT9193-33,
U4,SOT-23-5,1,ME6217C33M5G,
